诗词,id
陋室铭,1
卜算子·咏梅,2
卜算子·咏梅,3
春夜喜雨,4
咏柳 / 柳枝词,5
梅花,6
阿房宫赋,7
草 / 赋得古原草送别,8
竹石,9
墨梅,10
石灰吟,11
题破山寺后禅院,12
水龙吟·次韵章质夫杨花,13
蜂,14
咏鹅,15
菊花,16
咏雪 / 咏雪联句,17
赠从弟·其二,18
山园小梅二首,19
不第后赋菊 / 菊花,20
鹧鸪天·桂花,21
蝉,22
朝天子·咏喇叭,23
画鸡,24
赏牡丹,25
临江仙·寒柳,26
小松,27
白梅,28
题菊花,29
苔,30
咏蝉 / 在狱咏蝉,31
金陵五题·石头城,32
赠荷花,33
梅花绝句二首·其一,34
辛夷坞,35
花影,36
早梅,37
临江仙·梅,38
踏莎行·杨柳回塘,39
西北有高楼,40
山中雪后,41
蝉,42
七绝·咏蛙,43
临江仙·柳絮,44
同儿辈赋未开海棠,45
采桑子·塞上咏雪花,46
青松,47
咏华山,48
忆梅,49
房兵曹胡马诗,50
咏柳,51
感遇·江南有丹橘,52
菊花,53
新竹,54
暗香·旧时月色,55
曲池荷,56
梅花,57
西江月·梅花,58
渔家傲·雪里已知春信至,59
七绝·为李进同志题所摄,60
紫薇花,61
潇湘神·斑竹枝,62
咏煤炭,63
贺新郎·夏景,64
孤雁 / 后飞雁,65
落花,66
新柳,67
木兰花慢·可怜今夕月,68
如梦令·道是梨花不是,69
多丽·咏白菊,70
蜉蝣,71
枯树赋,72
早雁,73
怨歌行,74
菊花,75
病牛,76
初秋行圃,77
六丑·蔷薇谢后作,78
普天乐·咏世,79
早梅,80
定风波·两两轻红半晕腮,81
铜雀台赋,82
忆秦娥·咏桐,83
榴花 / 题榴花,84
鹭鸶,85
杨柳枝词,86
莲叶,87
咏牡丹,88
添字丑奴儿·窗前谁种芭,89
苏幕遮·草,90
疏影·苔枝缀玉,91
赋得古原草送别,92
病梅馆记,93
猪肉颂,94
墨梅,95
念奴娇·梅,96
牡丹,97
咏芭蕉,98
题画兰,99
白莲,100
虞美人·宜州见梅作,101
梅花,102
黄州新建小竹楼记 / ,103
鹧鸪,104
早梅,105
咏风,106
红梅,107
咏早梅 / 扬州法曹梅,108
浣溪沙·咏橘,109
莲花,110
昭君怨·咏荷上雨,111
小石城山记,112
归雁,113
生查子·重叶梅,114
汉宫春·梅,115
咏菊,116
莲藕花叶图,117
虞美人·赋虞美人草,118
梅花,119
盐角儿·亳社观梅,120
感遇十二首,121
宫中调笑·团扇,122
解连环·孤雁,123
钴鉧潭西小丘记,124
一剪梅·咏柳,125
鹧鸪天·赏荷,126
红牡丹,127
鹦鹉,128
咏雪,129
喜雨亭记,130
撼庭秋·别来音信千里,131
子夜四时歌·渊冰厚三尺,132
梅花绝句·其二,133
点绛唇·咏梅月,134
流莺,135
金明池·咏寒柳,136
牡丹,137
忆江南·衔泥燕,138
古柏行,139
卜算子·兰,140
双双燕·咏燕,141
咏同心芙蓉,142
王充道送水仙花五十支,143
卜算子·悼国际共产主义,144
木兰花慢·中秋饮酒,145
朝中措·梅,146
咏山泉 / 山中流泉,147
题小松,148
卖花声·题岳阳楼,149
书院二小松,150
绮罗香·咏春雨,151
落花,152
腊前月季,153
柳枝词,154
李都尉古剑,155
云,156
荷花,157
溪上遇雨二首,158
侍宴咏石榴,159
琴赋,160
齐天乐·蟋蟀,161
五岁咏花,162
薛宝钗咏白海棠,163
醉落魄·咏鹰,164
春日,165
咏白海棠,166
题三义塔,167
岳阳楼,168
落梅,169
咏雪,170
摊破浣溪沙·揉破黄金万,171
品令·茶词,172
江神子·赋梅寄余叔良,173
红梅三首·其一,174
咏牡丹,175
还自广陵,176
香菱咏月·其三,177
蟾宫曲·咏西湖,178
观放白鹰二首,179
霜天晓角·桂花,180
庭前菊,181
野菊,182
齐天乐·蝉,183
微雨,184
未展芭蕉,185
清平乐·雪,186
南轩松,187
鹧鸪天·寻菊花无有戏作,188
五言诗·井,189
无俗念·灵虚宫梨花词,190
洞仙歌·咏柳,191
咏雨,192
定风波·红梅,193
暗香疏影,194
少年游·栏干十二独凭春,195
螃蟹咏,196
莺梭,197
严郑公宅同咏竹,198
点绛唇·素香丁香,199
南中咏雁诗,200
卖残牡丹,201
菊,202
秋莲,203
古风·其二十六,204
咏新竹,205
咏梧桐,206
昭君怨·梅花,207
菊,208
洞仙歌·雪云散尽,209
诉衷情·送春,210
南乡子·梅花词和杨元素,211
八月十二日夜诚斋望月,212
高阳台·西湖春感,213
蝉赋,214
蓦山溪·梅,215
咏蟹 / 咏螃蟹呈浙西,216
念奴娇·闹红一舸,217
望海楼,218
咏初日,219
野菊,220
芦花,221
花犯·小石梅花,222
念奴娇·插天翠柳,223
春居杂兴·两株桃杏映篱,224
踏莎行·雪中看梅花,225
残叶,226
晚桃花,227
牡丹,228
忆秦娥·梅谢了,229
玉楼春·红酥肯放琼苞碎,230
归燕诗,231
闻鹊喜·吴山观涛,232
双双燕·小桃谢后,233
咏萤,234
绵州巴歌,235
乌江,236
卜算子·新柳,237
浣溪沙·杨花,238
点绛唇·梅,239
蝶恋花·笑艳秋莲生绿浦,240
劲草行,241
望江南·咏弦月,242
双井茶送子瞻,243
瓠叶,244
赏春 / 芳草 / 春,245
眉妩·新月,246
题李次云窗竹,247
咏秋柳,248
一丛花·咏并蒂莲,249
柳梢青·茅舍疏篱,250
绮罗香·红叶,251
咏白海棠,252
白燕,253
东风第一枝·咏春雪,254
摸鱼儿·观潮上叶丞相,255
咏秋兰,256
减字木兰花·花,257
水仙子·寻梅,258
咏槿,259
采苓,260
咏桂,261
山鬼谣·问何年,262
萤火,263
咏萤诗,264
群鹤咏,265
燕归梁·风莲,266
观梅有感,267
望岳三首·其二,268
早梅,269
蝶恋花·两岸月桥花半吐,270
野菊,271
玉烛新·白海棠,272
裴给事宅白牡丹,273
疏影·咏荷叶,274
醉桃源·柳,275
绿头鸭·咏月,276
贺新郎·赋琵琶,277
病马,278
香菱咏月·其二,279
鹦鹉赋,280
点绛唇·咏风兰,281
池上,282
咏燕 / 归燕诗,283
大司成颜几圣率同舍招游,284
十一月中旬至扶风界见梅,285
拂舞词 / 公无渡河,286
雨不绝,287
晓过鸳湖,288
天香·咏龙涎香,289
咏愁,290
和袭美木兰后池三咏·白,291
桃花,292
花犯·谢黄复庵除夜寄古,293
浪淘沙·杨花,294
樱桃花,295
慈姥竹,296
咏草,297
贺新郎·和前韵,298
菩萨蛮·春风试手先梅蕊,299
金人捧露盘·水仙花,300
虞美人·影松峦峰,301
垂柳,302
霜天晓角·梅,303
扬州慢·琼花,304
清平乐·检校山园书所见,305
绣鸾凤花犯·赋水仙,306
水龙吟·燕忙莺懒芳残,307
满庭芳·茶,308
临发崇让宅紫薇,309
三绝句,310
洞仙歌·荷花,311
忆秦娥·杨花,312
代迎春花招刘郎中,313
夜游宫·竹窗听雨,314
望海楼晚景五绝,315
菩萨蛮·端午日咏盆中菊,316
牡丹,317
寓居定惠院之东杂花满山,318
醉中天·咏大蝴蝶,319
淡黄柳·咏柳,320
高阳台·落梅,321
少年游·玉壶冰莹兽炉灰,322
沁园春·咏菜花,323
香菱咏月·其一,324
苔,325
疏影·梅影,326
浣溪沙·琴川慧日寺蜡梅,327
梅花落,328
蔷薇花,329
千年调·卮酒向人时,330
卜算子·旅雁向南飞,331
临江仙·孤雁,332
赏牡丹,333
咏春笋,334
南乡子·岸远沙平,335
鼓钟,336
昌谷北园新笋四首,337
思黯南墅赏牡丹,338
浣溪沙·从石楼石壁往来,339
水龙吟·载学士院有之,340
书幽芳亭记,341
临江仙·洞庭波浪颭晴天,342
杨柳,343
秋兰赋,344
咏笼莺,345
小桃红·咏桃,346
水龙吟·露寒烟冷蒹葭老,347
鱼藻,348
上林春令·十一月三十日,349
花鸭,350
红蕉,351
咏邻女东窗海石榴,352
下泉,353
咏长城,354
解语花·云容冱雪,355
牡丹芳,356
西江月·真觉赏瑞香二首,357
杨生青花紫石砚歌,358
赠王桂阳,359
白鹭儿,360
咏落梅,361
咏虞美人花,362
醉落魄·正月二十日张园,363
潇湘夜雨·灯词,364
念奴娇·宜雨亭咏千叶海,365
菩萨蛮·芭蕉,366
赵昌寒菊,367
乌夜啼·石榴,368
鸣雁行,369
杨柳八首·其二,370
柳枝·解冻风来末上青,371
和郭主簿·其二,372
南浦·春水,373
咏长信宫中草诗,374
宴清都·连理海棠,375
咏儋耳二首,376
落梅,377
一萼红·古城阴,378
风流子·出关见桃花,379
醉桃源·芙蓉,380
深院,381
题张十一旅舍三咏·葡萄,382
小重山令·赋潭州红梅,383
题平阳郡汾桥边柳树,384
题竹石牧牛,385
杨柳枝五首·其二,386
野人送朱樱,387
椒聊,388
十一月二十六日松风亭下,389
满庭芳·促织儿,390
回中牡丹为雨所败二首,391
寒松赋,392
鲥鱼,393
华下对菊,394
咏萤火诗,395
子规,396
水龙吟·梨花,397
清如玉壶冰 / 赋得清,398
牡丹,399
霓裳中序第一·茉莉咏,400
舞鹤赋,401
酒箴,402
金缕曲·咏白海棠,403
柳梢青·灯花,404
禹庙,405
浣溪沙·绿玉枝头一粟黄,406
咏杜鹃花,407
朱鹭,408
南浦·春水,409
丁香结·夷则商秋日海棠,410
声声慢·咏桂花,411
望隔墙花诗,412
咏铜雀台,413
疏影·芭蕉,414
念奴娇·春雪咏兰,415
与东方左史虬修竹篇,416
献仙音·吊雪香亭梅,417
惜黄花慢·菊,418
京兆府栽莲,419
洞仙歌·中秋,420
柳梢青·过何郎石见早梅,421
水龙吟·落叶,422
九字梅花咏,423
诉衷情·海棠珠缀一重重,424
立冬前一日霜对菊有感,425
洞仙歌·咏黄葵,426
留春令·咏梅花,427
春草,428
红林檎近·高柳春才软,429
玉楼春·燕雕梁画栋原无,430
咏路,431
和马郎中移白菊见示,432
清江引·托咏,433
庭竹,434
花犯·苔梅,435
牡丹,436
侧犯·咏芍药,437
暗香疏影·夹钟宫赋墨梅,438
浣溪沙·题李中斋舟中梅,439
黄莺儿·园林晴昼春谁主,440
赠从弟·其三,441
巴江柳,442
齐天乐·萤,443
咏山樽二首,444
初出金门寻王侍御不遇咏,445
一片,446
咏被中绣鞋,447
养竹记,448
红林擒近·寿词·满路花,449
象祠记,450
咏兴国寺佛殿前幡,451
咏素蝶诗,452
浣溪沙·几共查梨到雪霜,453
咏木槿树题武进文明府厅,454
咏零陵,455
秘色越器,456
梅花,457
橘柚垂华实,458
南中荣橘柚,459
白菊三首,460
满江红·咏竹,461
东湖新竹,462
绝句四首·其四,463
戏题牡丹,464
巽公院五咏·苦竹桥,465
临江仙·寒柳,466
戏题阶前芍药,467
南乡子·咏瑞香,468
灵台,469
敷浅原见桃花,470
一萼红·盆梅,471
临江仙·和叶仲洽赋羊桃,472
吴山青·金璞明,473
惜秋华·木芙蓉,474
六丑·杨花,475
同谢谘议咏铜雀台,476
咏萍,477
中秋见月和子由,478
咏画障,479
琐窗寒·玉兰,480
同儿辈赋未开海棠,481
白菊杂书四首,482
咏蚊,483
书韩干牧马图,484
蜀桐,485
杜鹃花得红字,486
题李俨黄菊赋,487
瑶花慢·朱钿宝玦,488
奉试明堂火珠,489
新植海石榴,490
咏菊,491
解语花·梅花,492
咏孤石,493
梅,494
双双燕·满城社雨,495
杏花,496
和答钱穆父咏猩猩毛笔,497
咏荔枝,498
咏院中丛竹,499
石竹咏,500
钱氏池上芙蓉,501
一枝花·咏喜雨,502
解连环·柳,503
柳絮,504
长亭怨慢·雁,505
花心动·柳,506
天香·蜡梅,507
满庭芳·茉莉花,508
探春,509
对雪,510
咏孤石,511
渡海至琼管天宁寺咏阇提,512
孤桐,513
杏花天·咏汤,514
满庭芳·咏茶,515
满江红·雨后荒园,516
满江红·仙姥来时,517
生查子·软金杯,518
水龙吟·浮翠山房拟赋白,519
【南吕】干荷叶八首,520
新楼诗二十首·北楼樱桃,521
使院中新栽柏树子呈李十,522
卜算子·古涧一枝梅,523
五粒小松歌,524
夹竹桃花·咏题,525
新竹,526
蓬莱三殿侍宴奉敕咏终南,527
鹭鸶,528
浪淘沙·赋虞美人草,529
蝶恋花·几股湘江龙骨瘦,530
莲蓬人,531
过秦楼·黄钟商芙蓉,532
鹦鹉,533
一剪梅·一剪梅花万样娇,534
巽上人以竹间自采新茶见,535
喜迁莺·暑风凉月,536
咏傀儡,537
水龙吟·白莲,538
满江红·刘朔斋赋菊和韵,539
古树,540
除夜自石湖归苕溪·其一,541
望山,542
咏竹五首,543
北禽,544
最高楼·咏梅,545
早蝉,546
莺啼序·荷和赵修全韵,547
松,548
咏蕙诗,549
梅花绝句,550
咏归堂隐鳞洞,551
杨花,552
蜡梅,553
四月十一日初食荔支,554
梅花,555
归舟江行望燕子矶作,556
咏舞诗,557
凄凉犯·重台水仙,558
牡丹赋,559
栀子花诗,560
五月水边柳,561
蝶恋花·一朵江梅春带雪,562
感遇诗三十八首·其二十,563
诉衷情·小梅风韵最妖娆,564
柳花词三首,565
咏架上鹰,566
咏瀑布,567
齐天乐·蝉,568
感遇诗三十八首·其一,569
咏石榴花,570
幽兰,571
咏新荷应诏,572
杭州开元寺牡丹,573
月季花,574
牡丹吟,575
檄英王鸡,576
薛宝钗·雪竹,577
奉同张敬夫城南二十咏,578
姑孰十咏,579
祝英台近·荷花,580
桃花,581
咏鸳鸯,582
画竹歌,583
咏舞,584
读山海经十三首·其五,585
咏竹,586
雪,587
木假山记,588
杨柳八首·其三,589
读山海经十三首·其四,590
三闾庙,591
咏雁,592
箕山,593
咏石牛,594
观第五泄记,595
落叶,596
梅花,597
燕来,598
极相思·题陈藏一水月梅,599
夜合花,600
横波亭,601
州宅堂前荷花,602
江梅引·忆江梅,603
水龙吟·咏月,604
蝶恋花·落落盘根真得地,605
咏省壁画鹤,606
慧庆寺玉兰记,607
咏主人壁上画鹤寄乔主簿,608
咏檐前竹,609
咏贺兰山,610
巽公院五咏,611
题友人云母障子,612
任光禄竹溪记,613
咏牡丹,614
芙蕖,615
咏瓢,616
穷鸟赋,617
水龙吟·赋张斗墅家古松,618
桂枝香·观木樨有感寄吕,619
咏湖中雁,620
古香慢·赋沧浪看桂,621
江城子·嫩黄初染绿初描,622
浣溪沙·桂,623
鹤,624
花马池咏,625
咏甘蔗,626
鹊,627
阳春曲·赠海棠,628
咏鹦鹉,629
庆清朝·榴花,630
丁公默送蝤蛑,631
咏黄莺儿,632
风流子·黄钟商芍药,633
答李滁州题庭前石竹花见,634
菩萨蛮·题梅扇,635
柳絮,636
梅花,637
咏乌,638
谢判官幽谷种花,639
芙蓉亭,640
同蔡孚起居咏鹦鹉,641
鲁从事清晖阁,642
烛影摇红·赋德清县圃古,643
虞美人影·咏香橙,644
和元八侍御升平新居四绝,645
咏壁鱼,646
杨柳枝词九首·其四,647
金缕曲·疏影临书卷,648
杖铭,649
咏百八塔,650
山园屡种杨梅皆不成枇杷,651
赋得蝉,652
题张十一旅舍三咏·井,653
贺新郎·云卧衣裳冷,654
巨鱼纵大壑,655
感遇诗三十八首·其十二,656
鸣雁行,657
咏槐,658
一鹭图,659
咏弓,660
杂诗七首·其二,661
羊,662
客中闻雁,663
有木诗八首·其八,664
咏柳,665
枸杞,666
杖铭,667
汴京纪事二十首·其十六,668
惜分飞·柳絮,669
有木诗八首·其八,670
旅次寄湖南张郎中,671
次韵昌叔咏尘,672
双燕,673
竹轩记,674
水仙子·咏竹,675
红梅,676
